M,L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2
5,1.5,7,8,JAS,26.020466666666668,1.1597870927747136
6,1.5,7,8,JAS,26.064611666666668,1.1994567630902317
7,1.5,7,8,JAS,26.042976,0.9002594622110359
8,1.5,7,8,JAS,26.141437333333332,0.9964288972409195
9,1.5,7,8,JAS,26.058662,1.060165624871726
10,1.5,7,8,JAS,26.138460666666667,1.0351922207098878
11,1.5,7,8,JAS,26.09910766666667,1.0707572524047135
12,1.5,7,8,JAS,26.126245666666666,0.8838354189909221
13,1.5,7,8,JAS,26.180083000000003,0.9237005376631034
14,1.5,7,8,JAS,26.203691,0.8251446759541363
15,1.5,7,8,JAS,26.166447333333334,0.9297363645719541
16,1.5,7,8,JAS,26.213424999999997,0.8681973041637927
17,1.5,7,8,JAS,26.285529666666665,0.9353086524033345
18,1.5,7,8,JAS,26.220829,0.977007130181725
19,1.5,7,8,JAS,26.2227,1.0466130983310369
20,1.5,7,8,JAS,26.278899666666668,0.80521628841023
21,1.5,7,8,JAS,26.311921666666667,0.8388410456626443
22,1.5,7,8,JAS,26.288444000000002,0.8661387725282759
23,1.5,7,8,JAS,26.335910666666667,0.7333978293305763
24,1.5,7,8,JAS,26.342225,0.8168730211775873
1,1.5,8,9,ASO,25.697396333333334,1.1730283740722993
2,1.5,8,9,ASO,25.658608333333333,1.4054691383591944
3,1.5,8,9,ASO,25.719012333333335,1.2225034035978206
4,1.5,8,9,ASO,25.707688,1.339762308761377
5,1.5,8,9,ASO,25.785116333333335,1.2744062612033318
6,1.5,8,9,ASO,25.73732066666667,1.375114973799541
7,1.5,8,9,ASO,25.787768333333336,1.1527783553660922
8,1.5,8,9,ASO,25.689811000000002,1.2825337811610333
9,1.5,8,9,ASO,25.796022666666666,1.2285064591926451
10,1.5,8,9,ASO,25.898306666666667,1.2083783252781608
11,1.5,8,9,ASO,25.884874333333336,1.2005128067909197
12,1.5,8,9,ASO,25.917077666666668,1.2289172735909166
13,1.5,8,9,ASO,25.970596,1.143615014183447
14,1.5,8,9,ASO,25.983232666666666,1.0860079006960914
15,1.5,8,9,ASO,25.996262666666667,1.1590637958478172
16,1.5,8,9,ASO,26.032941333333333,1.1804324097085042
17,1.5,8,9,ASO,26.023439,1.0494157352713787
18,1.5,8,9,ASO,26.109603333333332,1.0805233102091991
19,1.5,8,9,ASO,26.075481333333336,1.0595292089154016
20,1.5,8,9,ASO,26.07786433333333,1.0498998476943657
21,1.5,8,9,ASO,26.165952,0.9806715709475878
22,1.5,8,9,ASO,26.191441,0.9499906592231045
23,1.5,8,9,ASO,26.220977,0.9753328862768982
