L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
8.5,0000 1 Dec 1993,299.5875,295.6081,297.9742,301.5581
9.5,0000 1 Dec 1993,299.4964,295.6385,297.9131,301.6033
10.5,0000 1 Dec 1993,299.4642,296.0578,297.9776,301.6258
1.5,0000 1 Jan 1994,300.1001,299.3714,299.6861,301.5371
2.5,0000 1 Jan 1994,300.4618,299.9408,300.1469,301.6284
3.5,0000 1 Jan 1994,300.7458,299.4627,300.2158,301.8363
4.5,0000 1 Jan 1994,300.7788,298.3155,299.8438,301.9955
5.5,0000 1 Jan 1994,300.5175,297.0861,299.1814,302.0005
6.5,0000 1 Jan 1994,300.1458,296.1451,298.547,301.9201
7.5,0000 1 Jan 1994,299.8306,295.6251,298.1343,301.8659
8.5,0000 1 Jan 1994,299.6678,295.5137,297.9619,301.8633
9.5,0000 1 Jan 1994,299.5716,295.8784,297.9723,301.8413
10.5,0000 1 Jan 1994,299.4432,296.5689,298.026,301.725
1.5,0000 1 Feb 1994,300.6006,300.0761,300.2341,301.7196
2.5,0000 1 Feb 1994,300.9795,299.5725,300.3459,302.0481
3.5,0000 1 Feb 1994,301.1007,298.4702,300.0581,302.2958
4.5,0000 1 Feb 1994,300.8866,297.2444,299.4577,302.3292
5.5,0000 1 Feb 1994,300.5305,296.4006,298.8921,302.2613
6.5,0000 1 Feb 1994,300.1866,295.9265,298.4573,302.2107
7.5,0000 1 Feb 1994,300.0034,295.887,298.2585,302.2331
8.5,0000 1 Feb 1994,299.9434,296.2343,298.2818,302.2421
9.5,0000 1 Feb 1994,299.8754,296.8586,298.3668,302.1496
10.5,0000 1 Feb 1994,299.708,297.7149,298.5212,301.8824
