M,L,MON,LDC_SST_NASA_GEOSS2S
3,1.5,0000 1 Aug 1992,25.72165
4,1.5,0000 1 Aug 1992,25.84219
1,2.5,0000 1 Aug 1992,25.65377
2,2.5,0000 1 Aug 1992,26.18194
3,2.5,0000 1 Aug 1992,25.78733
4,2.5,0000 1 Aug 1992,25.73428
1,3.5,0000 1 Aug 1992,25.51649
2,3.5,0000 1 Aug 1992,26.31828
3,3.5,0000 1 Aug 1992,25.97311
4,3.5,0000 1 Aug 1992,25.68441
1,4.5,0000 1 Aug 1992,25.28918
2,4.5,0000 1 Aug 1992,26.11476
3,4.5,0000 1 Aug 1992,25.84845
4,4.5,0000 1 Aug 1992,25.4957
1,5.5,0000 1 Aug 1992,25.17443
2,5.5,0000 1 Aug 1992,25.66974
3,5.5,0000 1 Aug 1992,25.64036
4,5.5,0000 1 Aug 1992,25.34491
1,6.5,0000 1 Aug 1992,25.20042
2,6.5,0000 1 Aug 1992,25.42467
3,6.5,0000 1 Aug 1992,25.55592
4,6.5,0000 1 Aug 1992,25.23845
1,7.5,0000 1 Aug 1992,25.43355
2,7.5,0000 1 Aug 1992,25.52923
3,7.5,0000 1 Aug 1992,25.8431
4,7.5,0000 1 Aug 1992,25.49421
1,1.5,0000 1 Sep 1992,25.99171
2,1.5,0000 1 Sep 1992,25.98224
3,1.5,0000 1 Sep 1992,25.82218
4,1.5,0000 1 Sep 1992,26.11871
1,2.5,0000 1 Sep 1992,25.77601
2,2.5,0000 1 Sep 1992,25.936
3,2.5,0000 1 Sep 1992,25.90075
4,2.5,0000 1 Sep 1992,26.13311
1,3.5,0000 1 Sep 1992,25.4486
2,3.5,0000 1 Sep 1992,25.71164
3,3.5,0000 1 Sep 1992,25.91146
4,3.5,0000 1 Sep 1992,25.98922
1,4.5,0000 1 Sep 1992,25.08143
2,4.5,0000 1 Sep 1992,25.62451
3,4.5,0000 1 Sep 1992,25.85915
4,4.5,0000 1 Sep 1992,25.79284
1,5.5,0000 1 Sep 1992,24.78366
2,5.5,0000 1 Sep 1992,25.71667
3,5.5,0000 1 Sep 1992,25.95231
4,5.5,0000 1 Sep 1992,25.6998
1,6.5,0000 1 Sep 1992,24.82505
2,6.5,0000 1 Sep 1992,25.91078
3,6.5,0000 1 Sep 1992,26.34179
4,6.5,0000 1 Sep 1992,25.94111
1,7.5,0000 1 Sep 1992,25.10379
2,7.5,0000 1 Sep 1992,26.08946
3,7.5,0000 1 Sep 1992,26.97144
4,7.5,0000 1 Sep 1992,26.26238
1,1.5,0000 1 Oct 1992,25.51999
2,1.5,0000 1 Oct 1992,26.19355
3,1.5,0000 1 Oct 1992,25.38342
4,1.5,0000 1 Oct 1992,26.17519
1,2.5,0000 1 Oct 1992,25.21216
2,2.5,0000 1 Oct 1992,26.29679
3,2.5,0000 1 Oct 1992,24.7752
4,2.5,0000 1 Oct 1992,25.92081
1,3.5,0000 1 Oct 1992,25.09766
2,3.5,0000 1 Oct 1992,26.35324
3,3.5,0000 1 Oct 1992,24.50703
4,3.5,0000 1 Oct 1992,25.8123
1,4.5,0000 1 Oct 1992,25.22298
2,4.5,0000 1 Oct 1992,26.29844
3,4.5,0000 1 Oct 1992,24.63366
4,4.5,0000 1 Oct 1992,26.00966
1,5.5,0000 1 Oct 1992,25.5917
