L,M,MON,LDC_SST_CanESM5
7.5,14,0000 1 Mar 1991,300.2604
8.5,14,0000 1 Mar 1991,300.1892
9.5,14,0000 1 Mar 1991,300.1339
10.5,14,0000 1 Mar 1991,300.1374
1.5,15,0000 1 Mar 1991,301.0651
2.5,15,0000 1 Mar 1991,301.2206
3.5,15,0000 1 Mar 1991,301.101
4.5,15,0000 1 Mar 1991,300.8018
5.5,15,0000 1 Mar 1991,300.5274
6.5,15,0000 1 Mar 1991,300.4297
7.5,15,0000 1 Mar 1991,300.5016
8.5,15,0000 1 Mar 1991,300.6009
9.5,15,0000 1 Mar 1991,300.5823
10.5,15,0000 1 Mar 1991,300.5587
1.5,16,0000 1 Mar 1991,301.1005
2.5,16,0000 1 Mar 1991,301.2209
3.5,16,0000 1 Mar 1991,301.115
4.5,16,0000 1 Mar 1991,300.8232
5.5,16,0000 1 Mar 1991,300.5857
6.5,16,0000 1 Mar 1991,300.5291
7.5,16,0000 1 Mar 1991,300.6848
8.5,16,0000 1 Mar 1991,300.7609
9.5,16,0000 1 Mar 1991,300.7208
10.5,16,0000 1 Mar 1991,300.6339
1.5,17,0000 1 Mar 1991,300.8203
2.5,17,0000 1 Mar 1991,300.7927
3.5,17,0000 1 Mar 1991,300.5238
4.5,17,0000 1 Mar 1991,300.1467
5.5,17,0000 1 Mar 1991,299.7998
6.5,17,0000 1 Mar 1991,299.6585
7.5,17,0000 1 Mar 1991,299.623
8.5,17,0000 1 Mar 1991,299.5692
9.5,17,0000 1 Mar 1991,299.4922
10.5,17,0000 1 Mar 1991,299.5826
1.5,18,0000 1 Mar 1991,301.3313
2.5,18,0000 1 Mar 1991,301.4441
3.5,18,0000 1 Mar 1991,301.2428
4.5,18,0000 1 Mar 1991,300.825
5.5,18,0000 1 Mar 1991,300.4482
6.5,18,0000 1 Mar 1991,300.0997
7.5,18,0000 1 Mar 1991,299.901
8.5,18,0000 1 Mar 1991,299.7465
9.5,18,0000 1 Mar 1991,299.6381
10.5,18,0000 1 Mar 1991,299.5682
1.5,19,0000 1 Mar 1991,301.1412
2.5,19,0000 1 Mar 1991,301.1714
3.5,19,0000 1 Mar 1991,300.9532
4.5,19,0000 1 Mar 1991,300.6658
5.5,19,0000 1 Mar 1991,300.3501
6.5,19,0000 1 Mar 1991,300.2447
7.5,19,0000 1 Mar 1991,300.2682
8.5,19,0000 1 Mar 1991,300.3667
9.5,19,0000 1 Mar 1991,300.3455
10.5,19,0000 1 Mar 1991,300.3909
1.5,20,0000 1 Mar 1991,301.1094
2.5,20,0000 1 Mar 1991,301.2543
3.5,20,0000 1 Mar 1991,301.1482
4.5,20,0000 1 Mar 1991,300.7845
5.5,20,0000 1 Mar 1991,300.3791
6.5,20,0000 1 Mar 1991,300.1357
7.5,20,0000 1 Mar 1991,300.1146
8.5,20,0000 1 Mar 1991,300.097
9.5,20,0000 1 Mar 1991,299.9368
10.5,20,0000 1 Mar 1991,299.8371
1.5,1,0000 1 Apr 1991,300.9185
2.5,1,0000 1 Apr 1991,300.6766
3.5,1,0000 1 Apr 1991,300.347
4.5,1,0000 1 Apr 1991,300.0906
