L,MON,LDC_SST_CanSIPS_IC4,LDC_SST_CanSIPS_IC4_ONETWO,LDC_SST_CanSIPS_IC4_THREE,LDC_SST_CanSIPS_IC4_FOUR
2.5,0000 1 Jan 1994,299.4442,299.1866,299.1388,300.8717
3.5,0000 1 Jan 1994,299.4697,298.4892,298.9301,300.8689
4.5,0000 1 Jan 1994,299.3594,297.2151,298.3901,300.8789
5.5,0000 1 Jan 1994,299.026,295.9459,297.6429,300.7521
6.5,0000 1 Jan 1994,298.5926,295.1116,297.0277,300.5385
7.5,0000 1 Jan 1994,298.2256,294.7067,296.7112,300.3333
8.5,0000 1 Jan 1994,298.0181,294.7108,296.6617,300.1848
9.5,0000 1 Jan 1994,297.9094,295.1391,296.7523,300.0582
10.5,0000 1 Jan 1994,297.8004,295.8007,296.8334,299.9274
1.5,0000 1 Feb 1994,299.8028,299.3431,299.4636,301.1482
2.5,0000 1 Feb 1994,299.8232,298.5959,299.2041,301.1942
3.5,0000 1 Feb 1994,299.7288,297.3629,298.6664,301.2447
4.5,0000 1 Feb 1994,299.4001,296.1722,297.9404,301.1298
5.5,0000 1 Feb 1994,298.9495,295.3716,297.3423,300.9051
6.5,0000 1 Feb 1994,298.5225,294.9603,296.9673,300.6671
